new entry "Projectile_DemonicStare_Magic"
type "SkillData"
data "SkillType" "Projectile"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Damage" "AverageLevelDamge"
data "Damage Multiplier" "67"
data "Damage Range" "0"
data "DamageType" "Fire"
data "TargetRadius" "13"
data "DeathType" "Piercing"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "ForceTarget" "No"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "ProjectileCount" "0"
data "ProjectileDelay" "0"
data "Template" "82c728a8-acfc-4da4-8e7e-b7481217a4be"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "ProjectileTerrainOffset" "No"

