new entry "Target_WotL_Unsummon"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "None"
data "Tier" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "Damage Range" "0"
data "DamageType" "None"
data "SkillProperties" "DYING,100,-1,DoT"
data "TargetRadius" "30"
data "AddWeaponRange" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "MySummon"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Source_BanishSummon"
data "DisplayName" "Target_WotL_Unsummon_DisplayName"
data "DisplayNameRef" "Unsummon"
data "Description" "Target_WotL_Unsummon_Description"
data "DescriptionRef" "Target_WotL_Unsummon_Description"
data "StatsDescription" "Target_WotL_Unsummon_StatsDescription"
data "StatsDescriptionRef" "Target_WotL_Unsummon_StatsDescription"
data "StatsDescriptionParams" "TargetRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_icewall_start"
data "PrepareAnimationLoop" "skill_icewall_loop"
data "CastAnimation" "skill_icewall_cast"
data "CastSelfAnimation" "skill_icewall_cast"
data "CastTextEvent" "cast"

